scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndC_bin_069_k141_210219	IndC_bin_069_k141_210219_fragment_2	110	179	70	104246	150246	46001
IndC_bin_107_k141_256674	IndC_bin_107_k141_256674_fragment_1	9	28	20	8360	25029	16670
IndC_bin_114_k141_325427	IndC_bin_114_k141_325427_fragment_1	2	14	13	2117	14413	12297
IndC_bin_109_k141_212153	IndC_bin_109_k141_212153_fragment_2	43	102	60	60692	102190	41499
IndC_bin_062_k141_9565	IndC_bin_062_k141_9565_fragment_6	203	290	88	204344	257999	53656
IndC_bin_066_k141_347821	IndC_bin_066_k141_347821_fragment_1	6	35	30	2276	26583	24308
IndC_bin_068_k141_53265	IndC_bin_068_k141_53265_fragment_4	176	251	76	187331	246689	59359
IndC_bin_012_k141_200129	IndC_bin_012_k141_200129_fragment_1	3	14	12	1252	10146	8895
IndC_bin_046_k141_321659	IndC_bin_046_k141_321659_fragment_2	24	67	44	23166	70040	46875
IndC_bin_129_k141_29356	IndC_bin_129_k141_29356_fragment_1	28	51	24	33950	46156	12207
IndC_bin_129_k141_74455	IndC_bin_129_k141_74455_fragment_1	5	35	31	1470	13841	12372
IndC_bin_104_k141_11584	IndC_bin_104_k141_11584_fragment_1	3	16	14	2676	23851	21176
IndC_bin_049_k141_33902	IndC_bin_049_k141_33902_fragment_5	330	364	35	372171	399576	27406
IndC_bin_122_k141_150173	IndC_bin_122_k141_150173_fragment_3	214	328	115	240092	320286	80195
IndC_bin_114_k141_300625	IndC_bin_114_k141_300625_fragment_1	7	18	12	3025	11981	8957
IndC_bin_068_k141_74703	IndC_bin_068_k141_74703_fragment_5	180	194	15	186925	193425	6501
IndC_bin_054_k141_116958	IndC_bin_054_k141_116958_fragment_1	68	140	73	57376	119198	61823
IndC_bin_021_k141_3259	IndC_bin_021_k141_3259_fragment_2	62	79	18	72361	83033	10673
IndC_bin_046_k141_142401	IndC_bin_046_k141_142401_fragment_2	96	108	13	111324	124848	13525
IndC_bin_066_k141_420623	IndC_bin_066_k141_420623_fragment_1	4	35	32	1377	28524	27148
IndC_bin_022_k141_298706	IndC_bin_022_k141_298706_fragment_1	1	18	18	3	8181	8179
IndC_bin_041_k141_142069	IndC_bin_041_k141_142069_fragment_2	47	56	10	52115	63415	11301
IndC_bin_105_k141_332605	IndC_bin_105_k141_332605_fragment_1	2	14	13	674	13175	12502
IndC_bin_024_k141_4896	IndC_bin_024_k141_4896_fragment_1	6	78	73	10439	67262	56824
IndC_bin_114_k141_263249	IndC_bin_114_k141_263249_fragment_4	94	135	42	97511	136757	39247
IndC_bin_114_k141_263249	IndC_bin_114_k141_263249_fragment_5	152	161	10	151352	161856	10505
IndC_bin_110_k141_400326	IndC_bin_110_k141_400326_fragment_1	1	13	13	2	14755	14754
IndC_bin_039_k141_243929	IndC_bin_039_k141_243929_fragment_1	2	20	19	160	13574	13415
IndC_bin_067_k141_307586	IndC_bin_067_k141_307586_fragment_1	51	70	20	49619	59104	9486
IndC_bin_022_k141_276178	IndC_bin_022_k141_276178_fragment_1	2	43	42	615	36078	35464
IndC_bin_075_k141_174694	IndC_bin_075_k141_174694_fragment_1	13	108	96	10799	103580	92782
IndC_bin_111_k141_339568	IndC_bin_111_k141_339568_fragment_2	60	74	15	57920	70021	12102
IndC_bin_123_k141_76285	IndC_bin_123_k141_76285_fragment_1	1	38	38	84	27598	27515
IndC_bin_130_k141_37876	IndC_bin_130_k141_37876_fragment_1	1	38	38	1	28976	28976
IndC_bin_128_k141_348909	IndC_bin_128_k141_348909_fragment_1	12	19	8	17894	26264	8371
IndC_bin_128_k141_348909	IndC_bin_128_k141_348909_fragment_4	124	131	8	149443	157813	8371
IndC_bin_089_k141_226591	IndC_bin_089_k141_226591_fragment_1	49	90	42	52787	92462	39676
IndC_bin_081_k141_329932	IndC_bin_081_k141_329932_fragment_4	212	222	11	232459	242258	9800
IndC_bin_069_k141_214115	IndC_bin_069_k141_214115_fragment_1	2	16	15	572	12193	11622
IndC_bin_002_k141_361529	IndC_bin_002_k141_361529_fragment_4	155	175	21	186380	203348	16969
IndC_bin_004_k141_283486	IndC_bin_004_k141_283486_fragment_2	58	66	9	57155	67924	10770
IndC_bin_128_k141_329461	IndC_bin_128_k141_329461_fragment_1	42	101	60	45755	94246	48492
IndC_bin_107_k141_392545	IndC_bin_107_k141_392545_fragment_1	9	51	43	6504	37286	30783
IndC_bin_063_k141_79552	IndC_bin_063_k141_79552_fragment_1	20	40	21	24437	40534	16098
IndC_bin_075_k141_386835	IndC_bin_075_k141_386835_fragment_2	52	63	12	65335	75907	10573
IndC_bin_045_k141_59495	IndC_bin_045_k141_59495_fragment_1	19	74	56	28255	64765	36511
IndC_bin_061_k141_396187	IndC_bin_061_k141_396187_fragment_1	8	19	12	9286	15761	6476
IndC_bin_040_k141_84976	IndC_bin_040_k141_84976_fragment_1	16	54	39	16072	50845	34774
IndC_bin_128_k141_423776	IndC_bin_128_k141_423776_fragment_2	74	91	18	85911	103323	17413
IndC_bin_118_k141_173225	IndC_bin_118_k141_173225_fragment_1	5	18	14	3118	15650	12533
IndC_bin_082_k141_159123	IndC_bin_082_k141_159123_fragment_2	36	43	8	40121	48170	8050
IndC_bin_102_k141_33197	IndC_bin_102_k141_33197_fragment_2	110	166	57	119839	157190	37352
IndC_bin_098_k141_222048	IndC_bin_098_k141_222048_fragment_1	1	11	11	2	6104	6103
IndC_bin_064_k141_40564	IndC_bin_064_k141_40564_fragment_1	2	24	23	629	14685	14057
IndC_bin_019_k141_43937	IndC_bin_019_k141_43937_fragment_1	5	16	12	1714	8771	7058
