study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_strategy	fastq_md5	fastq_ftp	submitted_ftp	sra_ftp
PRJNA588313	SAMN13241759	SRX7116046	SRR10418030	408170	human gut metagenome	Res2_Phage_A4	WGS	71392903fa69590a66d56b5bd79056a4;90dd4ac1edc3d5cdaaa8a3567c583576	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/030/SRR10418030/SRR10418030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/030/SRR10418030/SRR10418030_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116045	SRR10418031	408170	human gut metagenome	Res2_Phage_E6	WGS	0e882c368f9d4b69ac8d0c5a555847f3;7a3b5be832e3c43d84ed74b71d75604d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/031/SRR10418031/SRR10418031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/031/SRR10418031/SRR10418031_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116044	SRR10418032	408170	human gut metagenome	Res2_Phage_E5	WGS	6dc81be027f0f02d743f891d485a706c;fd1543653388881de233db4e80ca6d89	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/032/SRR10418032/SRR10418032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/032/SRR10418032/SRR10418032_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116043	SRR10418033	408170	human gut metagenome	Res2_Phage_E4	WGS	fbefa9c096084fd1d7a752ce15649053;d98433f55979d9dd46926b76854a4803	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/033/SRR10418033/SRR10418033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/033/SRR10418033/SRR10418033_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116042	SRR10418034	408170	human gut metagenome	Res2_Phage_E3	WGS	8f3fa302e2a52983103ac633fd9ee48a;aa3d9933a361b473af036dd00d341dba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/034/SRR10418034/SRR10418034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/034/SRR10418034/SRR10418034_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116041	SRR10418035	408170	human gut metagenome	Res2_Phage_E2	WGS	5a531f6b202094d33a7a6976e1e2899d;175d2a81967f1fe28d606c0767b135f7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/035/SRR10418035/SRR10418035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/035/SRR10418035/SRR10418035_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116040	SRR10418036	408170	human gut metagenome	Res2_Phage_E1	WGS	8b2820e5af6bead917f022cbf51b7b16;0a42ace8a2f28322befce973b4f83cdd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/036/SRR10418036/SRR10418036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/036/SRR10418036/SRR10418036_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116039	SRR10418037	408170	human gut metagenome	Res2_Phage_D6	WGS	f058af3818ff4b08f9cbe3f5419f9acd;60f1cf43257bf270543d87dd54f77a0c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/037/SRR10418037/SRR10418037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/037/SRR10418037/SRR10418037_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116038	SRR10418038	408170	human gut metagenome	Res2_Phage_D5	WGS	1a8879da1a234621cd2f2ebf85a337cc;2876a90efb8e018f2a833c5325c9d88e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/038/SRR10418038/SRR10418038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/038/SRR10418038/SRR10418038_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116037	SRR10418039	408170	human gut metagenome	Res2_Phage_D4	WGS	92f30361bd62ab534d27074fec9602db;430817a5f6602359cec1626f441b1f42	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/039/SRR10418039/SRR10418039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/039/SRR10418039/SRR10418039_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116036	SRR10418040	408170	human gut metagenome	Res2_Phage_D3	WGS	82462c1c87125615a9e4cd26c3f27247;43182944f595b85845c437d68b1fc965	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/040/SRR10418040/SRR10418040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/040/SRR10418040/SRR10418040_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116035	SRR10418041	408170	human gut metagenome	Res2_Phage_A3	WGS	0fc96107781626712c4f8cfd8507f9b1;21a9266d20f001ac862abd78b5ef73ed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/041/SRR10418041/SRR10418041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/041/SRR10418041/SRR10418041_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116034	SRR10418042	408170	human gut metagenome	Res2_Phage_D2	WGS	cafeb64cdf7c36edd1ac5b06dec4b8d1;d3891897920888a7ac373c25dff55420	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/042/SRR10418042/SRR10418042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/042/SRR10418042/SRR10418042_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116033	SRR10418043	408170	human gut metagenome	Res2_Phage_D1	WGS	6f41f57c4210e1b5eb1a32f9c039ec19;7b63aa3362248bf6058e5111d9b4b584	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/043/SRR10418043/SRR10418043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/043/SRR10418043/SRR10418043_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116032	SRR10418044	408170	human gut metagenome	Res2_Phage_C6	WGS	70ce1948b66746824af24a7d07a79334;934e0b3dd1d37ff1101e314f29ea0237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/044/SRR10418044/SRR10418044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/044/SRR10418044/SRR10418044_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116031	SRR10418045	408170	human gut metagenome	Res2_Phage_C5	WGS	31e23ee154d9fa46698165c2eb1be293;db7250aa7f4ad6dc038a4eeff8586abf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/045/SRR10418045/SRR10418045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/045/SRR10418045/SRR10418045_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116030	SRR10418046	408170	human gut metagenome	Res2_Phage_C4	WGS	88c4627e98073f882fb2516894be7e03;bee7abd0ad3102eb77b8c63bfece66db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/046/SRR10418046/SRR10418046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/046/SRR10418046/SRR10418046_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116029	SRR10418047	408170	human gut metagenome	Res2_Phage_C3	WGS	cd0dfdc59f997d4595f8f8b1bc09dbc7;6ccdb07dbb6ff9d45ee9ee49b306c51f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/047/SRR10418047/SRR10418047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/047/SRR10418047/SRR10418047_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116028	SRR10418048	408170	human gut metagenome	Res2_Phage_C2	WGS	3283ff5b7198c85c038cc1d1b0b4f674;4c6c7ed6c39d33399a10ef0faf748553	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/048/SRR10418048/SRR10418048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/048/SRR10418048/SRR10418048_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116027	SRR10418049	408170	human gut metagenome	Res2_Phage_C1	WGS	039a24306ab77addfffe753ca8b37879;c7ba37a9e8a3c13d702bb58bd7548d7a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/049/SRR10418049/SRR10418049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/049/SRR10418049/SRR10418049_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116026	SRR10418050	408170	human gut metagenome	Res2_Phage_B6	WGS	6385f0bf67ce4234d986d1ee774d597c;d33fd70d570e8338ccc61cfce06bd091	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/050/SRR10418050/SRR10418050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/050/SRR10418050/SRR10418050_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116025	SRR10418051	408170	human gut metagenome	Res2_Phage_B5	WGS	41dcc55f35c2b87e5ce45b9a4a8904bc;bb92a836e6ea6ac82fc6d4f3c1e82f14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/051/SRR10418051/SRR10418051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/051/SRR10418051/SRR10418051_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116024	SRR10418052	408170	human gut metagenome	Res2_Phage_A2	WGS	3548d645b294f08df45fdf5e8943a397;431a956d4ac6b1d27be9ce5f60b5a574	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/052/SRR10418052/SRR10418052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/052/SRR10418052/SRR10418052_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116023	SRR10418053	408170	human gut metagenome	Res2_Phage_A1	WGS	324cc2c0184de6aa8c8a048512d8bac7;a37cf58f50313d83c2c7657045ce4619	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/053/SRR10418053/SRR10418053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/053/SRR10418053/SRR10418053_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7119017	SRR10420931	408170	human gut metagenome	Res2_RNA_B6	RNA-Seq	f24b138f3863b06f6b7883c8edda50f1;2352b4467d5c3def4febd0861fb8c971	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/031/SRR10420931/SRR10420931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/031/SRR10420931/SRR10420931_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7119016	SRR10420932	408170	human gut metagenome	Res2_RNA_B5	RNA-Seq	97fbda8ab630f06841c33c26cebba910;79a178db99cab358a2847fec0e54545f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/032/SRR10420932/SRR10420932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/032/SRR10420932/SRR10420932_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7119015	SRR10420933	408170	human gut metagenome	Res2_RNA_A2	RNA-Seq	c01b3912236fecb9c48ab5f6f9f432f4;794cc058ebe730c2a38a1362e539cce6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/033/SRR10420933/SRR10420933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/033/SRR10420933/SRR10420933_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7119014	SRR10420934	408170	human gut metagenome	Res2_RNA_A1	RNA-Seq	d1768c738689e5ff0385e34b83ffa9ba;49668f766a11496bd3b4316fdddfb6f7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/034/SRR10420934/SRR10420934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/034/SRR10420934/SRR10420934_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7119013	SRR10420935	408170	human gut metagenome	Res2_RNA_B4	RNA-Seq	65013c8653bd832cbfbf0cf24021fa82;e0823a5bfb31cd8d34f41024c3242aac	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/035/SRR10420935/SRR10420935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/035/SRR10420935/SRR10420935_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7119012	SRR10420936	408170	human gut metagenome	Res2_RNA_B3	RNA-Seq	4f32623186fdcad643b842a756a2ba70;e17d6458d525f485896865d121334b4f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/036/SRR10420936/SRR10420936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/036/SRR10420936/SRR10420936_2.fastq.gz		
