scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
bin_018_k141_76520	bin_018_k141_76520_fragment_1	1	26	26	3	21487	21485
bin_037_k141_12459	bin_037_k141_12459_fragment_1	2	46	45	506	38374	37869
bin_106_k141_302632	bin_106_k141_302632_fragment_1	2	38	37	792	22606	21815
bin_092_k141_241733	bin_092_k141_241733_fragment_1	8	64	57	7352	44707	37356
bin_102_k141_136990	bin_102_k141_136990_fragment_2	75	86	12	79100	86989	7890
bin_105_k141_117902	bin_105_k141_117902_fragment_2	21	32	12	16563	22095	5533
bin_026_k141_102095	bin_026_k141_102095_fragment_1	3	19	17	3187	12676	9490
bin_090_k141_33801	bin_090_k141_33801_fragment_1	1	30	30	1	31491	31491
bin_041_k141_302939	bin_041_k141_302939_fragment_1	11	20	10	8141	17835	9695
bin_103_k141_193987	bin_103_k141_193987_fragment_2	77	142	66	79856	123786	43931
bin_103_k141_193987	bin_103_k141_193987_fragment_3	171	206	36	160805	195806	35002
bin_007_k141_304471	bin_007_k141_304471_fragment_1	9	26	18	5152	17229	12078
bin_001_k141_332613	bin_001_k141_332613_fragment_2	39	77	39	41677	66234	24558
bin_024_k141_218058	bin_024_k141_218058_fragment_1	2	14	13	832	9423	8592
bin_092_k141_80410	bin_092_k141_80410_fragment_1	24	95	72	23721	74923	51203
bin_104_k141_209118	bin_104_k141_209118_fragment_1	26	35	10	27497	38213	10717
bin_106_k141_72689	bin_106_k141_72689_fragment_2	29	93	65	24859	75562	50704
bin_090_k141_190574	bin_090_k141_190574_fragment_1	1	8	8	2	12505	12504
bin_023_k141_20604	bin_023_k141_20604_fragment_1	15	29	15	17916	30074	12159
bin_023_k141_20604	bin_023_k141_20604_fragment_2	45	98	54	47755	88070	40316
bin_015_k141_21326	bin_015_k141_21326_fragment_1	1	19	19	2	13477	13476
bin_043_k141_4758	bin_043_k141_4758_fragment_1	41	79	39	40432	67190	26759
bin_092_k141_204592	bin_092_k141_204592_fragment_1	4	17	14	1926	10587	8662
bin_061_k141_268699	bin_061_k141_268699_fragment_3	28	38	11	23593	29026	5434
bin_099_k141_377293	bin_099_k141_377293_fragment_1	32	48	17	37897	48488	10592
bin_105_k141_366417	bin_105_k141_366417_fragment_1	9	16	8	7568	12274	4707
bin_112_k141_272116	bin_112_k141_272116_fragment_1	16	28	13	11398	20678	9281
bin_035_k141_38430	bin_035_k141_38430_fragment_1	27	64	38	35310	56981	21672
bin_116_k141_49378	bin_116_k141_49378_fragment_3	116	132	17	124101	133798	9698
bin_085_k141_205500	bin_085_k141_205500_fragment_1	1	24	24	350	15622	15273
bin_003_k141_354722	bin_003_k141_354722_fragment_2	46	92	47	48192	71812	23621
bin_118_k141_374066	bin_118_k141_374066_fragment_1	33	101	69	36313	85824	49512
bin_120_k141_138448	bin_120_k141_138448_fragment_2	82	91	10	95644	105386	9743
