scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndD_bin_159_k141_11211	IndD_bin_159_k141_11211_fragment_1	2	31	30	687	22298	21612
IndD_bin_159_k141_11211	IndD_bin_159_k141_11211_fragment_2	45	168	124	34589	122827	88239
IndD_bin_176_k141_109777	IndD_bin_176_k141_109777_fragment_1	82	119	38	100937	131188	30252
IndD_bin_139_k141_586790	IndD_bin_139_k141_586790_fragment_1	41	49	9	52454	58095	5642
IndD_bin_061_k141_120139	IndD_bin_061_k141_120139_fragment_1	39	51	13	44393	60843	16451
IndD_bin_056_k141_220585	IndD_bin_056_k141_220585_fragment_1	3	58	56	832	35523	34692
IndD_bin_131_k141_277951	IndD_bin_131_k141_277951_fragment_3	77	142	66	86435	139075	52641
IndD_bin_131_k141_277951	IndD_bin_131_k141_277951_fragment_5	168	177	10	168579	179792	11214
IndD_bin_047_k141_605397	IndD_bin_047_k141_605397_fragment_1	17	31	15	13602	27557	13956
IndD_bin_092_k141_279496	IndD_bin_092_k141_279496_fragment_1	2	43	42	254	20951	20698
IndD_bin_072_k141_394280	IndD_bin_072_k141_394280_fragment_1	20	71	52	17407	52755	35349
IndD_bin_104_k141_497474	IndD_bin_104_k141_497474_fragment_1	2	43	42	629	33604	32976
IndD_bin_037_k141_518779	IndD_bin_037_k141_518779_fragment_1	29	112	84	27060	89134	62075
IndD_bin_064_k141_454287	IndD_bin_064_k141_454287_fragment_1	52	69	18	64802	79454	14653
IndD_bin_006_k141_307838	IndD_bin_006_k141_307838_fragment_1	1	26	26	451	15656	15206
IndD_bin_061_k141_148323	IndD_bin_061_k141_148323_fragment_1	2	10	9	437	7588	7152
IndD_bin_148_k141_512776	IndD_bin_148_k141_512776_fragment_2	56	76	21	66890	85547	18658
IndD_bin_072_k141_111115	IndD_bin_072_k141_111115_fragment_2	31	43	13	26218	38558	12341
IndD_bin_092_k141_207212	IndD_bin_092_k141_207212_fragment_1	4	12	9	808	5171	4364
IndD_bin_155_k141_123021	IndD_bin_155_k141_123021_fragment_1	4	11	8	2098	10136	8039
IndD_bin_138_k141_566832	IndD_bin_138_k141_566832_fragment_1	16	33	18	15373	29738	14366
IndD_bin_149_k141_133750	IndD_bin_149_k141_133750_fragment_1	3	13	11	767	6849	6083
IndD_bin_124_k141_150343	IndD_bin_124_k141_150343_fragment_1	4	14	11	1501	9312	7812
IndD_bin_044_k141_293379	IndD_bin_044_k141_293379_fragment_1	6	31	26	1400	13339	11940
IndD_bin_085_k141_608455	IndD_bin_085_k141_608455_fragment_1	5	47	43	1725	34036	32312
IndD_bin_041_k141_125007	IndD_bin_041_k141_125007_fragment_1	9	57	49	10413	45521	35109
IndD_bin_143_k141_581320	IndD_bin_143_k141_581320_fragment_1	4	31	28	2529	22487	19959
IndD_bin_080_k141_630345	IndD_bin_080_k141_630345_fragment_1	3	62	60	1715	37725	36011
IndD_bin_132_k141_77086	IndD_bin_132_k141_77086_fragment_2	48	59	12	49952	58315	8364
IndD_bin_132_k141_32103	IndD_bin_132_k141_32103_fragment_1	6	66	61	4066	40853	36788
IndD_bin_110_k141_174707	IndD_bin_110_k141_174707_fragment_2	151	165	15	170989	183086	12098
IndD_bin_046_k141_447380	IndD_bin_046_k141_447380_fragment_2	60	74	15	62338	72726	10389
IndD_bin_157_k141_19115	IndD_bin_157_k141_19115_fragment_1	1	94	94	799	78237	77439
IndD_bin_108_k141_369147	IndD_bin_108_k141_369147_fragment_1	5	27	23	1478	16851	15374
IndD_bin_118_k141_384801	IndD_bin_118_k141_384801_fragment_1	10	17	8	13875	23025	9151
IndD_bin_007_k141_479254	IndD_bin_007_k141_479254_fragment_1	2	10	9	225	7581	7357
IndD_bin_127_k141_60829	IndD_bin_127_k141_60829_fragment_1	29	37	9	24123	35662	11540
IndD_bin_160_k141_492955	IndD_bin_160_k141_492955_fragment_1	12	24	13	16367	26397	10031
IndD_bin_104_k141_2833	IndD_bin_104_k141_2833_fragment_1	25	62	38	26105	60703	34599
IndD_bin_063_k141_258420	IndD_bin_063_k141_258420_fragment_1	1	12	12	2	9688	9687
IndD_bin_130_k141_441391	IndD_bin_130_k141_441391_fragment_1	3	33	31	1442	27749	26308
IndD_bin_062_k141_520448	IndD_bin_062_k141_520448_fragment_1	53	77	25	58493	77282	18790
IndD_bin_014_k141_287170	IndD_bin_014_k141_287170_fragment_1	10	19	10	9661	17678	8018
IndD_bin_100_k141_165736	IndD_bin_100_k141_165736_fragment_2	37	54	18	35704	49862	14159
IndD_bin_040_k141_167409	IndD_bin_040_k141_167409_fragment_2	22	62	41	20537	50480	29944
IndD_bin_057_k141_62339	IndD_bin_057_k141_62339_fragment_1	2	56	55	1371	37472	36102
IndD_bin_062_k141_346527	IndD_bin_062_k141_346527_fragment_1	20	98	79	18411	73374	54964
IndD_bin_046_k141_240067	IndD_bin_046_k141_240067_fragment_1	4	48	45	1040	28464	27425
IndD_bin_081_k141_136585	IndD_bin_081_k141_136585_fragment_1	5	30	26	3167	22983	19817
IndD_bin_096_k141_619213	IndD_bin_096_k141_619213_fragment_2	38	85	48	34439	66028	31590
IndD_bin_167_k141_403434	IndD_bin_167_k141_403434_fragment_1	4	12	9	1443	9311	7869
IndD_bin_167_k141_403434	IndD_bin_167_k141_403434_fragment_2	19	96	78	19548	70154	50607
IndD_bin_133_k141_522705	IndD_bin_133_k141_522705_fragment_1	4	33	30	1652	29568	27917
IndD_bin_132_k141_234144	IndD_bin_132_k141_234144_fragment_1	1	50	50	24	33357	33334
IndD_bin_045_k141_69105	IndD_bin_045_k141_69105_fragment_1	11	19	9	12144	18648	6505
IndD_bin_127_k141_437644	IndD_bin_127_k141_437644_fragment_1	10	50	41	9538	34679	25142
IndD_bin_044_k141_572679	IndD_bin_044_k141_572679_fragment_1	10	22	13	15992	25895	9904
IndD_bin_025_k141_61581	IndD_bin_025_k141_61581_fragment_1	19	34	16	21799	34126	12328
IndD_bin_139_k141_636862	IndD_bin_139_k141_636862_fragment_1	52	77	26	57302	74980	17679
IndD_bin_154_k141_397728	IndD_bin_154_k141_397728_fragment_1	11	20	10	9822	21223	11402
IndD_bin_165_k141_109920	IndD_bin_165_k141_109920_fragment_2	74	90	17	56546	67135	10590
IndD_bin_145_k141_254092	IndD_bin_145_k141_254092_fragment_1	6	13	8	6273	13923	7651
IndD_bin_054_k141_23882	IndD_bin_054_k141_23882_fragment_2	34	99	66	41329	88423	47095
IndD_bin_065_k141_296976	IndD_bin_065_k141_296976_fragment_1	10	20	11	9126	17831	8706
IndD_bin_096_k141_525234	IndD_bin_096_k141_525234_fragment_2	23	32	10	26493	37848	11356
IndD_bin_165_k141_199413	IndD_bin_165_k141_199413_fragment_2	29	39	11	32530	42235	9706
IndD_bin_175_k141_343238	IndD_bin_175_k141_343238_fragment_1	3	12	10	993	8082	7090
IndD_bin_058_k141_398023	IndD_bin_058_k141_398023_fragment_2	41	54	14	51255	62253	10999
IndD_bin_030_k141_591852	IndD_bin_030_k141_591852_fragment_2	38	52	15	36568	51347	14780
IndD_bin_037_k141_223560	IndD_bin_037_k141_223560_fragment_3	58	126	69	59093	116473	57381
IndD_bin_024_k141_580482	IndD_bin_024_k141_580482_fragment_1	15	88	74	17373	65972	48600
IndD_bin_024_k141_189222	IndD_bin_024_k141_189222_fragment_2	37	61	25	42854	55472	12619
IndD_bin_003_k141_227792	IndD_bin_003_k141_227792_fragment_1	2	27	26	181	17998	17818
IndD_bin_140_k141_283204	IndD_bin_140_k141_283204_fragment_1	8	15	8	7949	23326	15378
IndD_bin_072_k141_169118	IndD_bin_072_k141_169118_fragment_1	23	44	22	20415	38419	18005
IndD_bin_159_k141_39601	IndD_bin_159_k141_39601_fragment_1	9	34	26	7021	26102	19082
IndD_bin_020_k141_340126	IndD_bin_020_k141_340126_fragment_2	33	41	9	31281	40580	9300
IndD_bin_146_k141_631374	IndD_bin_146_k141_631374_fragment_2	60	94	35	69792	106638	36847
IndD_bin_157_k141_166899	IndD_bin_157_k141_166899_fragment_1	12	37	26	10457	29540	19084
IndD_bin_111_k141_2382	IndD_bin_111_k141_2382_fragment_1	31	39	9	31998	40496	8499
IndD_bin_042_k141_124086	IndD_bin_042_k141_124086_fragment_2	109	154	46	119328	150741	31414
IndD_bin_060_k141_316740	IndD_bin_060_k141_316740_fragment_1	2	16	15	572	12193	11622
IndD_bin_085_k141_331801	IndD_bin_085_k141_331801_fragment_1	3	30	28	697	19511	18815
IndD_bin_131_k141_139293	IndD_bin_131_k141_139293_fragment_1	4	12	9	2585	8166	5582
IndD_bin_112_k141_243354	IndD_bin_112_k141_243354_fragment_1	167	218	52	179224	214647	35424
