scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndE_bin_010_k141_570223	IndE_bin_010_k141_570223_fragment_1	1	14	14	291	7175	6885
IndE_bin_027_k141_663624	IndE_bin_027_k141_663624_fragment_1	18	29	12	21431	27906	6476
IndE_bin_068_k141_553634	IndE_bin_068_k141_553634_fragment_1	5	47	43	1454	33765	32312
IndE_bin_130_k141_575721	IndE_bin_130_k141_575721_fragment_1	23	61	39	27852	59527	31676
IndE_bin_105_k141_274882	IndE_bin_105_k141_274882_fragment_1	13	23	11	13409	23201	9793
IndE_bin_128_k141_153435	IndE_bin_128_k141_153435_fragment_1	5	30	26	3167	22983	19817
IndE_bin_086_k141_1481	IndE_bin_086_k141_1481_fragment_2	31	67	37	34435	82979	48545
IndE_bin_153_k141_214035	IndE_bin_153_k141_214035_fragment_2	15	95	81	14958	68308	53351
IndE_bin_086_k141_5730	IndE_bin_086_k141_5730_fragment_1	2	54	53	2263	40630	38368
IndE_bin_111_k141_332422	IndE_bin_111_k141_332422_fragment_1	2	16	15	572	12193	11622
IndE_bin_153_k141_478429	IndE_bin_153_k141_478429_fragment_1	16	40	25	18740	37823	19084
IndE_bin_061_k141_570709	IndE_bin_061_k141_570709_fragment_2	30	37	8	34058	38818	4761
IndE_bin_050_k141_18785	IndE_bin_050_k141_18785_fragment_2	36	70	35	41206	78052	36847
IndE_bin_001_k141_529696	IndE_bin_001_k141_529696_fragment_2	30	86	57	34318	84732	50415
IndE_bin_072_k141_290903	IndE_bin_072_k141_290903_fragment_1	5	39	35	1303	31142	29840
IndE_bin_105_k141_283731	IndE_bin_105_k141_283731_fragment_1	8	39	32	11584	37820	26237
IndE_bin_153_k141_508873	IndE_bin_153_k141_508873_fragment_2	42	75	34	40467	67104	26638
IndE_bin_124_k141_699846	IndE_bin_124_k141_699846_fragment_2	88	100	13	99557	111964	12408
IndE_bin_062_k141_708864	IndE_bin_062_k141_708864_fragment_1	5	24	20	3908	18341	14434
IndE_bin_014_k141_254900	IndE_bin_014_k141_254900_fragment_1	18	67	50	29212	60926	31715
IndE_bin_042_k141_450247	IndE_bin_042_k141_450247_fragment_1	10	23	14	12415	24709	12295
IndE_bin_130_k141_43994	IndE_bin_130_k141_43994_fragment_1	5	44	40	1654	29602	27949
IndE_bin_153_k141_432941	IndE_bin_153_k141_432941_fragment_1	35	120	86	39972	103469	63498
IndE_bin_129_k141_325724	IndE_bin_129_k141_325724_fragment_1	3	75	73	739	52413	51675
IndE_bin_025_k141_700462	IndE_bin_025_k141_700462_fragment_1	16	41	26	15311	44379	29069
IndE_bin_040_k141_654277	IndE_bin_040_k141_654277_fragment_1	54	66	13	55037	67377	12341
IndE_bin_149_k141_149517	IndE_bin_149_k141_149517_fragment_1	30	43	14	28415	37564	9150
IndE_bin_151_k141_249732	IndE_bin_151_k141_249732_fragment_1	35	47	13	37761	45490	7730
IndE_bin_145_k141_671082	IndE_bin_145_k141_671082_fragment_1	7	31	25	5610	27742	22133
IndE_bin_107_k141_501734	IndE_bin_107_k141_501734_fragment_1	1	94	94	799	78237	77439
IndE_bin_096_k141_37074	IndE_bin_096_k141_37074_fragment_2	14	47	34	10446	35022	24577
IndE_bin_098_k141_198796	IndE_bin_098_k141_198796_fragment_2	95	140	46	111475	148317	36843
IndE_bin_077_k141_19305	IndE_bin_077_k141_19305_fragment_2	37	61	25	42919	55537	12619
IndE_bin_110_k141_676114	IndE_bin_110_k141_676114_fragment_1	9	31	23	7021	22734	15714
IndE_bin_071_k141_618255	IndE_bin_071_k141_618255_fragment_1	4	25	22	1919	23373	21455
IndE_bin_019_k141_688097	IndE_bin_019_k141_688097_fragment_1	3	15	13	345	10007	9663
IndE_bin_014_k141_138610	IndE_bin_014_k141_138610_fragment_2	76	100	25	82235	101024	18790
IndE_bin_066_k141_10605	IndE_bin_066_k141_10605_fragment_1	7	14	8	10068	19473	9406
IndE_bin_094_k141_617927	IndE_bin_094_k141_617927_fragment_1	11	39	29	7279	33714	26436
IndE_bin_071_k141_316718	IndE_bin_071_k141_316718_fragment_2	37	84	48	33593	65182	31590
IndE_bin_149_k141_337994	IndE_bin_149_k141_337994_fragment_1	69	107	39	78362	107074	28713
IndE_bin_068_k141_98435	IndE_bin_068_k141_98435_fragment_1	3	30	28	697	19511	18815
IndE_bin_014_k141_475862	IndE_bin_014_k141_475862_fragment_2	19	28	10	19351	25340	5990
IndE_bin_129_k141_126262	IndE_bin_129_k141_126262_fragment_1	6	45	40	13220	47624	34405
IndE_bin_129_k141_126262	IndE_bin_129_k141_126262_fragment_2	65	73	9	68578	77877	9300
IndE_bin_071_k141_383442	IndE_bin_071_k141_383442_fragment_2	23	32	10	26857	38212	11356
IndE_bin_145_k141_676205	IndE_bin_145_k141_676205_fragment_1	3	26	24	503	23966	23464
IndE_bin_065_k141_14553	IndE_bin_065_k141_14553_fragment_1	17	27	11	21330	31035	9706
IndE_bin_097_k141_229421	IndE_bin_097_k141_229421_fragment_2	37	51	15	38625	50727	12103
IndE_bin_039_k141_598921	IndE_bin_039_k141_598921_fragment_1	29	112	84	27060	89134	62075
IndE_bin_150_k141_362605	IndE_bin_150_k141_362605_fragment_1	1	15	15	347	16214	15868
IndE_bin_013_k141_625452	IndE_bin_013_k141_625452_fragment_1	16	33	18	15373	29738	14366
IndE_bin_065_k141_696201	IndE_bin_065_k141_696201_fragment_1	10	26	17	8884	19473	10590
IndE_bin_014_k141_581522	IndE_bin_014_k141_581522_fragment_3	35	48	14	33959	42941	8983
IndE_bin_061_k141_12737	IndE_bin_061_k141_12737_fragment_1	2	56	55	473	45498	45026
IndE_bin_053_k141_475599	IndE_bin_053_k141_475599_fragment_1	5	97	93	1219	75865	74647
IndE_bin_102_k141_524814	IndE_bin_102_k141_524814_fragment_1	25	87	63	20976	55477	34502
IndE_bin_104_k141_604223	IndE_bin_104_k141_604223_fragment_3	84	146	63	88622	135055	46434
IndE_bin_073_k141_567741	IndE_bin_073_k141_567741_fragment_2	148	158	11	174897	181171	6275
IndE_bin_039_k141_325719	IndE_bin_039_k141_325719_fragment_3	109	176	68	126362	171926	45565
IndE_bin_136_k141_368941	IndE_bin_136_k141_368941_fragment_1	17	24	8	13755	20159	6405
IndE_bin_143_k141_510491	IndE_bin_143_k141_510491_fragment_1	2	10	9	777	5652	4876
IndE_bin_089_k141_547858	IndE_bin_089_k141_547858_fragment_1	8	25	18	7529	23430	15902
IndE_bin_121_k141_28984	IndE_bin_121_k141_28984_fragment_1	20	31	12	15053	21939	6887
IndE_bin_010_k141_494314	IndE_bin_010_k141_494314_fragment_1	3	10	8	505	11382	10878
IndE_bin_053_k141_309270	IndE_bin_053_k141_309270_fragment_1	2	47	46	672	42025	41354
IndE_bin_131_k141_682162	IndE_bin_131_k141_682162_fragment_1	19	27	9	17724	23852	6129
IndE_bin_033_k141_160983	IndE_bin_033_k141_160983_fragment_2	17	29	13	16702	30894	14193
IndE_bin_080_k141_9328	IndE_bin_080_k141_9328_fragment_1	1	31	31	2	17454	17453
IndE_bin_129_k141_684178	IndE_bin_129_k141_684178_fragment_1	2	14	13	2521	14769	12249
IndE_bin_014_k141_470326	IndE_bin_014_k141_470326_fragment_1	16	23	8	14130	20982	6853
