scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndH_bin_004_k141_101920	IndH_bin_004_k141_101920_fragment_1	2	9	8	570	7155	6586
IndH_bin_078_k141_42930	IndH_bin_078_k141_42930_fragment_1	2	18	17	470	15485	15016
IndH_bin_036_k141_62397	IndH_bin_036_k141_62397_fragment_3	118	141	24	142130	166897	24768
IndH_bin_042_k141_229351	IndH_bin_042_k141_229351_fragment_1	35	89	55	46355	92861	46507
IndH_bin_056_k141_91847	IndH_bin_056_k141_91847_fragment_1	8	28	21	9485	23883	14399
IndH_bin_061_k141_7637	IndH_bin_061_k141_7637_fragment_1	3	12	10	2942	13230	10289
IndH_bin_070_k141_229133	IndH_bin_070_k141_229133_fragment_1	1	27	27	2	17587	17586
IndH_bin_047_k141_46044	IndH_bin_047_k141_46044_fragment_2	38	115	78	31261	98420	67160
IndH_bin_047_k141_73289	IndH_bin_047_k141_73289_fragment_1	6	78	73	10493	67321	56829
IndH_bin_056_k141_88360	IndH_bin_056_k141_88360_fragment_2	39	121	83	54235	131152	76918
