scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndI_bin_141_k141_175935	IndI_bin_141_k141_175935_fragment_2	244	292	49	257343	301631	44289
IndI_bin_101_k141_283545	IndI_bin_101_k141_283545_fragment_2	97	148	52	101612	136194	34583
IndI_bin_072_k141_262994	IndI_bin_072_k141_262994_fragment_2	49	58	10	58961	69224	10264
IndI_bin_113_k141_297318	IndI_bin_113_k141_297318_fragment_1	2	15	14	2146	14293	12148
IndI_bin_145_k141_137717	IndI_bin_145_k141_137717_fragment_1	9	25	17	7884	24912	17029
IndI_bin_035_k141_343430	IndI_bin_035_k141_343430_fragment_1	4	11	8	1352	8437	7086
IndI_bin_031_k141_289770	IndI_bin_031_k141_289770_fragment_2	53	120	68	60590	110283	49694
IndI_bin_107_k141_312069	IndI_bin_107_k141_312069_fragment_1	39	98	60	21231	64210	42980
IndI_bin_107_k141_312069	IndI_bin_107_k141_312069_fragment_2	125	166	42	102335	138726	36392
IndI_bin_136_k141_54471	IndI_bin_136_k141_54471_fragment_1	2	35	34	349	23037	22689
IndI_bin_105_k141_179097	IndI_bin_105_k141_179097_fragment_2	68	110	43	83754	119263	35510
IndI_bin_021_k141_325293	IndI_bin_021_k141_325293_fragment_1	47	107	61	40417	88009	47593
IndI_bin_065_k141_289018	IndI_bin_065_k141_289018_fragment_2	25	65	41	24748	56583	31836
IndI_bin_142_k141_131787	IndI_bin_142_k141_131787_fragment_4	107	165	59	125149	172992	47844
IndI_bin_011_k141_202783	IndI_bin_011_k141_202783_fragment_1	11	32	22	10300	24282	13983
IndI_bin_118_k141_15395	IndI_bin_118_k141_15395_fragment_1	7	19	13	5678	19597	13920
IndI_bin_087_k141_354725	IndI_bin_087_k141_354725_fragment_2	61	73	13	62580	73815	11236
IndI_bin_111_k141_171606	IndI_bin_111_k141_171606_fragment_1	6	129	124	5476	81685	76210
IndI_bin_075_k141_130470	IndI_bin_075_k141_130470_fragment_2	55	68	14	54822	76872	22051
IndI_bin_028_k141_40642	IndI_bin_028_k141_40642_fragment_2	28	110	83	31481	97437	65957
IndI_bin_111_k141_185534	IndI_bin_111_k141_185534_fragment_1	96	109	14	119582	132364	12783
IndI_bin_111_k141_359997	IndI_bin_111_k141_359997_fragment_1	31	59	29	37514	58659	21146
IndI_bin_137_k141_227635	IndI_bin_137_k141_227635_fragment_1	2	16	15	271	10990	10720
IndI_bin_092_k141_354157	IndI_bin_092_k141_354157_fragment_1	1	9	9	2	8488	8487
IndI_bin_094_k141_288643	IndI_bin_094_k141_288643_fragment_2	38	85	48	41027	84182	43156
IndI_bin_029_k141_178524	IndI_bin_029_k141_178524_fragment_1	15	31	17	12759	20405	7647
IndI_bin_034_k141_310525	IndI_bin_034_k141_310525_fragment_1	38	50	13	40802	50867	10066
IndI_bin_145_k141_217179	IndI_bin_145_k141_217179_fragment_1	14	224	211	18040	178137	160098
IndI_bin_042_k141_27675	IndI_bin_042_k141_27675_fragment_2	32	89	58	32999	63907	30909
IndI_bin_105_k141_354848	IndI_bin_105_k141_354848_fragment_1	4	34	31	841	20873	20033
IndI_bin_106_k141_351756	IndI_bin_106_k141_351756_fragment_2	51	91	41	53337	75582	22246
IndI_bin_145_k141_258516	IndI_bin_145_k141_258516_fragment_1	2	16	15	572	12464	11893
IndI_bin_113_k141_301590	IndI_bin_113_k141_301590_fragment_2	25	33	9	26347	36717	10371
IndI_bin_039_k141_72966	IndI_bin_039_k141_72966_fragment_1	1	17	17	3	15463	15461
IndI_bin_039_k141_72966	IndI_bin_039_k141_72966_fragment_2	26	52	27	29633	50649	21017
IndI_bin_130_k141_166858	IndI_bin_130_k141_166858_fragment_1	1	54	54	129	28041	27913
IndI_bin_106_k141_140289	IndI_bin_106_k141_140289_fragment_1	24	50	27	15558	39601	24044
IndI_bin_063_k141_154255	IndI_bin_063_k141_154255_fragment_1	26	86	61	29482	68086	38605
IndI_bin_027_k141_186513	IndI_bin_027_k141_186513_fragment_1	47	62	16	55916	66941	11026
IndI_bin_012_k141_100710	IndI_bin_012_k141_100710_fragment_1	7	19	13	7639	19997	12359
IndI_bin_039_k141_313672	IndI_bin_039_k141_313672_fragment_2	39	59	21	48716	63366	14651
IndI_bin_113_k141_9729	IndI_bin_113_k141_9729_fragment_1	2	34	33	579	27657	27079
IndI_bin_127_k141_185830	IndI_bin_127_k141_185830_fragment_1	8	28	21	6559	24150	17592
IndI_bin_143_k141_223492	IndI_bin_143_k141_223492_fragment_1	1	67	67	1	49258	49258
IndI_bin_042_k141_200304	IndI_bin_042_k141_200304_fragment_1	21	205	185	18590	156856	138267
IndI_bin_107_k141_219813	IndI_bin_107_k141_219813_fragment_1	1	12	12	1	8355	8355
IndI_bin_058_k141_229156	IndI_bin_058_k141_229156_fragment_1	1	23	23	3	14966	14964
IndI_bin_034_k141_37295	IndI_bin_034_k141_37295_fragment_1	12	39	28	18764	39159	20396
IndI_bin_134_k141_185858	IndI_bin_134_k141_185858_fragment_5	349	417	69	379700	428720	49021
IndI_bin_124_k141_46890	IndI_bin_124_k141_46890_fragment_1	37	60	24	50467	67308	16842
IndI_bin_128_k141_342161	IndI_bin_128_k141_342161_fragment_1	1	8	8	2	10704	10703
IndI_bin_091_k141_188155	IndI_bin_091_k141_188155_fragment_1	107	138	32	110772	129114	18343
IndI_bin_080_k141_282165	IndI_bin_080_k141_282165_fragment_1	14	61	48	15510	58860	43351
IndI_bin_029_k141_162418	IndI_bin_029_k141_162418_fragment_1	3	29	27	830	22085	21256
IndI_bin_088_k141_334681	IndI_bin_088_k141_334681_fragment_2	58	71	14	66872	81327	14456
IndI_bin_119_k141_282468	IndI_bin_119_k141_282468_fragment_2	136	189	54	154183	200026	45844
IndI_bin_101_k141_124877	IndI_bin_101_k141_124877_fragment_3	84	105	22	82310	98241	15932
IndI_bin_138_k141_109886	IndI_bin_138_k141_109886_fragment_1	14	24	11	24439	34281	9843
IndI_bin_012_k141_34763	IndI_bin_012_k141_34763_fragment_1	2	21	20	118	13604	13487
IndI_bin_064_k141_342421	IndI_bin_064_k141_342421_fragment_1	14	21	8	11675	18610	6936
IndI_bin_013_k141_60795	IndI_bin_013_k141_60795_fragment_1	1	9	9	113	6971	6859
IndI_bin_134_k141_66543	IndI_bin_134_k141_66543_fragment_1	67	80	14	64098	73247	9150
IndI_bin_011_k141_83502	IndI_bin_011_k141_83502_fragment_1	62	96	35	67189	98411	31223
IndI_bin_101_k141_178894	IndI_bin_101_k141_178894_fragment_1	10	34	25	9704	27088	17385
IndI_bin_121_k141_132808	IndI_bin_121_k141_132808_fragment_1	1	35	35	50	50478	50429
IndI_bin_117_k141_61859	IndI_bin_117_k141_61859_fragment_2	74	109	36	80214	112588	32375
IndI_bin_120_k141_186416	IndI_bin_120_k141_186416_fragment_2	55	108	54	72398	114332	41935
IndI_bin_034_k141_37103	IndI_bin_034_k141_37103_fragment_1	20	32	13	18049	25507	7459
IndI_bin_069_k141_223526	IndI_bin_069_k141_223526_fragment_1	8	25	18	2738	11931	9194
IndI_bin_041_k141_316721	IndI_bin_041_k141_316721_fragment_2	25	88	64	21393	57879	36487
IndI_bin_034_k141_366079	IndI_bin_034_k141_366079_fragment_2	32	47	16	26424	36541	10118
IndI_bin_121_k141_220095	IndI_bin_121_k141_220095_fragment_1	5	12	8	4607	12834	8228
IndI_bin_119_k141_120425	IndI_bin_119_k141_120425_fragment_5	313	352	40	382308	409838	27531
IndI_bin_058_k141_218799	IndI_bin_058_k141_218799_fragment_2	20	69	50	17286	47267	29982
IndI_bin_005_k141_157728	IndI_bin_005_k141_157728_fragment_1	1	19	19	3	18428	18426
IndI_bin_020_k141_314198	IndI_bin_020_k141_314198_fragment_1	12	83	72	11689	70624	58936
IndI_bin_053_k141_343226	IndI_bin_053_k141_343226_fragment_1	9	20	12	6770	14908	8139
IndI_bin_017_k141_197047	IndI_bin_017_k141_197047_fragment_1	117	152	36	131893	155173	23281
IndI_bin_016_k141_16125	IndI_bin_016_k141_16125_fragment_1	20	40	21	27926	48731	20806
IndI_bin_143_k141_255551	IndI_bin_143_k141_255551_fragment_1	12	26	15	12204	22499	10296
IndI_bin_141_k141_45084	IndI_bin_141_k141_45084_fragment_1	1	42	42	1	31846	31846
IndI_bin_141_k141_45084	IndI_bin_141_k141_45084_fragment_2	54	116	63	41100	82763	41664
IndI_bin_100_k141_98608	IndI_bin_100_k141_98608_fragment_1	10	78	69	7839	77571	69733
IndI_bin_080_k141_249464	IndI_bin_080_k141_249464_fragment_1	2	9	8	358	10197	9840
IndI_bin_055_k141_331928	IndI_bin_055_k141_331928_fragment_1	1	48	48	2	23520	23519
IndI_bin_012_k141_121590	IndI_bin_012_k141_121590_fragment_1	8	22	15	7165	16361	9197
IndI_bin_011_k141_31777	IndI_bin_011_k141_31777_fragment_1	4	36	33	1412	17164	15753
IndI_bin_020_k141_350691	IndI_bin_020_k141_350691_fragment_2	112	152	41	168167	203943	35777
IndI_bin_071_k141_258318	IndI_bin_071_k141_258318_fragment_1	3	57	55	387	49938	49552
IndI_bin_050_k141_63846	IndI_bin_050_k141_63846_fragment_1	10	26	17	7515	19236	11722
IndI_bin_099_k141_320449	IndI_bin_099_k141_320449_fragment_1	16	33	18	15373	29738	14366
IndI_bin_126_k141_128555	IndI_bin_126_k141_128555_fragment_3	88	162	75	86209	146995	60787
IndI_bin_034_k141_42205	IndI_bin_034_k141_42205_fragment_1	2	18	17	131	12454	12324
IndI_bin_012_k141_157306	IndI_bin_012_k141_157306_fragment_1	8	17	10	7107	14957	7851
IndI_bin_089_k141_53021	IndI_bin_089_k141_53021_fragment_1	21	40	20	24322	43698	19377
IndI_bin_090_k141_12864	IndI_bin_090_k141_12864_fragment_6	202	239	38	256983	296289	39307
IndI_bin_089_k141_158509	IndI_bin_089_k141_158509_fragment_1	18	31	14	16620	35498	18879
