scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndF_bin_040_k141_272122	IndF_bin_040_k141_272122_fragment_2	36	44	9	40537	51568	11032
IndF_bin_092_k141_240868	IndF_bin_092_k141_240868_fragment_2	27	85	59	32778	75956	43179
IndF_bin_092_k141_240868	IndF_bin_092_k141_240868_fragment_3	101	114	14	93428	102605	9178
IndF_bin_143_k141_506170	IndF_bin_143_k141_506170_fragment_2	72	128	57	86281	135469	49189
IndF_bin_042_k141_421360	IndF_bin_042_k141_421360_fragment_1	68	78	11	81198	91460	10263
IndF_bin_064_k141_407748	IndF_bin_064_k141_407748_fragment_2	30	38	9	34849	42960	8112
IndF_bin_071_k141_151810	IndF_bin_071_k141_151810_fragment_1	16	26	11	12982	24325	11344
IndF_bin_122_k141_57878	IndF_bin_122_k141_57878_fragment_1	11	19	9	9120	23499	14380
IndF_bin_124_k141_375135	IndF_bin_124_k141_375135_fragment_1	3	30	28	1429	17198	15770
IndF_bin_105_k141_441432	IndF_bin_105_k141_441432_fragment_1	1	28	28	274	16286	16013
IndF_bin_047_k141_13577	IndF_bin_047_k141_13577_fragment_1	58	68	11	63935	73663	9729
IndF_bin_062_k141_202711	IndF_bin_062_k141_202711_fragment_1	19	27	9	27638	36336	8699
IndF_bin_029_k141_141763	IndF_bin_029_k141_141763_fragment_1	1	36	36	2	27931	27930
IndF_bin_029_k141_141763	IndF_bin_029_k141_141763_fragment_3	87	102	16	79078	91530	12453
IndF_bin_033_k141_360099	IndF_bin_033_k141_360099_fragment_2	39	91	53	36842	69810	32969
IndF_bin_034_k141_29957	IndF_bin_034_k141_29957_fragment_1	38	47	10	35347	42157	6811
IndF_bin_117_k141_243800	IndF_bin_117_k141_243800_fragment_1	7	17	11	8194	15986	7793
IndF_bin_135_k141_356020	IndF_bin_135_k141_356020_fragment_2	39	47	9	41591	47172	5582
IndF_bin_023_k141_447497	IndF_bin_023_k141_447497_fragment_1	8	25	18	7996	23897	15902
IndF_bin_144_k141_2765	IndF_bin_144_k141_2765_fragment_1	2	96	95	2139	69607	67469
IndF_bin_106_k141_105858	IndF_bin_106_k141_105858_fragment_1	8	35	28	2876	29389	26514
IndF_bin_135_k141_9417	IndF_bin_135_k141_9417_fragment_1	6	23	18	3230	13740	10511
IndF_bin_127_k141_290177	IndF_bin_127_k141_290177_fragment_1	21	46	26	18710	47778	29069
IndF_bin_072_k141_494683	IndF_bin_072_k141_494683_fragment_1	1	55	55	1	33486	33486
IndF_bin_092_k141_401699	IndF_bin_092_k141_401699_fragment_3	56	125	70	48731	119301	70571
IndF_bin_137_k141_63544	IndF_bin_137_k141_63544_fragment_1	12	57	46	12953	46140	33188
IndF_bin_040_k141_351490	IndF_bin_040_k141_351490_fragment_2	85	109	25	82312	94250	11939
IndF_bin_080_k141_288223	IndF_bin_080_k141_288223_fragment_1	15	109	95	3636	63538	59903
IndF_bin_020_k141_173730	IndF_bin_020_k141_173730_fragment_1	2	16	15	292	10441	10150
IndF_bin_143_k141_225246	IndF_bin_143_k141_225246_fragment_1	4	36	33	946	38321	37376
IndF_bin_106_k141_189797	IndF_bin_106_k141_189797_fragment_1	25	50	26	26867	45043	18177
IndF_bin_140_k141_401088	IndF_bin_140_k141_401088_fragment_1	16	23	8	25399	34804	9406
IndF_bin_049_k141_133603	IndF_bin_049_k141_133603_fragment_1	2	10	9	437	7588	7152
IndF_bin_096_k141_435498	IndF_bin_096_k141_435498_fragment_3	127	134	8	137663	143529	5867
IndF_bin_082_k141_391090	IndF_bin_082_k141_391090_fragment_3	96	190	95	108213	185636	77424
IndF_bin_114_k141_485300	IndF_bin_114_k141_485300_fragment_1	3	26	24	503	23966	23464
IndF_bin_144_k141_515011	IndF_bin_144_k141_515011_fragment_1	8	52	45	8156	48774	40619
IndF_bin_068_k141_463964	IndF_bin_068_k141_463964_fragment_1	1	22	22	2	21393	21392
IndF_bin_120_k141_369759	IndF_bin_120_k141_369759_fragment_1	1	14	14	11	7941	7931
IndF_bin_051_k141_461869	IndF_bin_051_k141_461869_fragment_1	4	64	61	1663	38512	36850
IndF_bin_124_k141_207260	IndF_bin_124_k141_207260_fragment_2	72	88	17	74970	85460	10491
IndF_bin_115_k141_338921	IndF_bin_115_k141_338921_fragment_1	40	79	40	44408	76237	31830
IndF_bin_081_k141_351076	IndF_bin_081_k141_351076_fragment_2	36	70	35	41206	78052	36847
IndF_bin_122_k141_127537	IndF_bin_122_k141_127537_fragment_1	2	18	17	859	15146	14288
IndF_bin_143_k141_312659	IndF_bin_143_k141_312659_fragment_1	121	172	52	149844	198054	48211
IndF_bin_099_k141_367504	IndF_bin_099_k141_367504_fragment_1	3	83	81	1102	66034	64933
IndF_bin_097_k141_313068	IndF_bin_097_k141_313068_fragment_1	3	13	11	437	5954	5518
IndF_bin_114_k141_474951	IndF_bin_114_k141_474951_fragment_1	7	31	25	5610	27742	22133
IndF_bin_143_k141_230733	IndF_bin_143_k141_230733_fragment_1	21	33	13	27624	39984	12361
IndF_bin_111_k141_413513	IndF_bin_111_k141_413513_fragment_1	4	17	14	1423	10572	9150
IndF_bin_143_k141_400371	IndF_bin_143_k141_400371_fragment_1	2	55	54	1086	38698	37613
IndF_bin_135_k141_92707	IndF_bin_135_k141_92707_fragment_2	60	76	17	68124	80840	12717
IndF_bin_030_k141_397121	IndF_bin_030_k141_397121_fragment_1	19	55	37	13923	42214	28292
IndF_bin_135_k141_431283	IndF_bin_135_k141_431283_fragment_2	69	114	46	70710	103474	32765
