scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndA_bin_034_k141_145765	IndA_bin_034_k141_145765_fragment_1	1	53	53	277	39648	39372
IndA_bin_040_k141_88952	IndA_bin_040_k141_88952_fragment_1	17	34	18	15747	30112	14366
IndA_bin_039_k141_33299	IndA_bin_039_k141_33299_fragment_1	9	21	13	11855	30316	18462
IndA_bin_008_k141_140970	IndA_bin_008_k141_140970_fragment_1	3	10	8	625	6113	5489
IndA_bin_030_k141_109789	IndA_bin_030_k141_109789_fragment_1	44	62	19	32709	48283	15575
IndA_bin_021_k141_23781	IndA_bin_021_k141_23781_fragment_1	34	77	44	34387	63383	28997
IndA_bin_034_k141_64962	IndA_bin_034_k141_64962_fragment_1	2	13	12	1406	8337	6932
IndA_bin_056_k141_70591	IndA_bin_056_k141_70591_fragment_1	1	66	66	1109	43673	42565
IndA_bin_052_k141_39484	IndA_bin_052_k141_39484_fragment_2	182	194	13	201770	212714	10945
IndA_bin_035_k141_9325	IndA_bin_035_k141_9325_fragment_1	7	56	50	7209	47962	40754
IndA_bin_013_k141_14785	IndA_bin_013_k141_14785_fragment_1	12	62	51	12266	47883	35618
IndA_bin_001_k141_103126	IndA_bin_001_k141_103126_fragment_1	11	52	42	10681	40281	29601
IndA_bin_011_k141_108805	IndA_bin_011_k141_108805_fragment_1	3	16	14	1230	9385	8156
IndA_bin_052_k141_156424	IndA_bin_052_k141_156424_fragment_2	85	99	15	92627	104728	12102
IndA_bin_049_k141_76301	IndA_bin_049_k141_76301_fragment_5	221	301	81	226972	290457	63486
IndA_bin_009_k141_144761	IndA_bin_009_k141_144761_fragment_1	1	14	14	1	9151	9151
IndA_bin_033_k141_61252	IndA_bin_033_k141_61252_fragment_1	52	104	53	35944	78127	42184
IndA_bin_039_k141_160915	IndA_bin_039_k141_160915_fragment_1	42	50	9	45852	54949	9098
IndA_bin_014_k141_162431	IndA_bin_014_k141_162431_fragment_2	90	114	25	103633	122240	18608
